 ;spi/dat   15-JAN-2014 AT 10:36:14   rf_doc.dat
 ;        NORM-FREQ      DPH           FRC          FRCCRIT        PIXELS
  122 5  0.161333       107.154     -5.772293E-02  0.216506       192.000     
  123 5  0.162667       98.9469      8.731253E-02  0.212132       200.000     
  124 5  0.164000       104.196     -3.160483E-02  0.231455       168.000     
  125 5  0.165333       101.125      5.619255E-02  0.214286       196.000     
  126 5  0.166667       105.645      2.654702E-02  0.218797       188.000     
  127 5  0.168000       108.818     -4.286666E-02  0.198680       228.000     
  128 5  0.169333       105.355     -3.635503E-02  0.221163       184.000     
  129 5  0.170667       110.179     -0.105801      0.204124       216.000     
  130 5  0.172000       99.3604      7.447990E-02  0.212132       200.000     
  131 5  0.173333       109.064     -0.131909      0.216506       192.000     
  132 5  0.174667       100.672      6.863144E-02  0.208013       208.000     
  133 5  0.176000       108.278     -8.226624E-02  0.210042       204.000     
  134 5  0.177333       103.283      1.234755E-02  0.214286       196.000     
  135 5  0.178667       98.9196      5.989906E-02  0.210042       204.000     
  136 5  0.180000       94.5253      7.666145E-02  0.200446       224.000     
  137 5  0.181333       106.111     -4.246962E-02  0.196960       232.000     
  138 5  0.182667       103.593     -5.488461E-02  0.221163       184.000     
  139 5  0.184000       100.180      6.829539E-02  0.195283       236.000     
  140 5  0.185333       106.621     -3.731987E-02  0.210042       204.000     
  141 5  0.186667       104.338     -3.061478E-02  0.202260       220.000     
  142 5  0.188000       106.705     -4.910482E-02  0.208013       208.000     
  143 5  0.189333       103.394     -1.586769E-02  0.200446       224.000     
  144 5  0.190667       99.6885      4.063607E-02  0.200446       224.000     
  145 5  0.192000       106.343      9.826788E-05  0.202260       220.000     
  146 5  0.193333       106.861     -3.297693E-02  0.192055       244.000     
  147 5  0.194667       103.190     -2.542786E-02  0.198680       228.000     
  148 5  0.196000       96.5807      9.007479E-02  0.192055       244.000     
  149 5  0.197333       105.078     -6.610492E-03  0.206041       212.000     
  150 5  0.198667       111.796     -5.856837E-02  0.190500       248.000     
  151 5  0.200000       105.828     -1.054519E-02  0.200446       224.000     
  152 5  0.201333       104.606     -5.393856E-02  0.200446       224.000     
  153 5  0.202667       103.278     -4.846354E-02  0.192055       244.000     
  154 5  0.204000       105.791     -1.787641E-02  0.188982       252.000     
  155 5  0.205333       107.500     -5.131106E-02  0.202260       220.000     
  156 5  0.206667       99.5379      7.030085E-02  0.181902       272.000     
  157 5  0.208000       96.7138      0.118108      0.196960       232.000     
  158 5  0.209333       103.752      6.810104E-02  0.193649       240.000     
  159 5  0.210667       105.935     -3.229593E-02  0.202260       220.000     
  160 5  0.212000       106.725     -2.222542E-02  0.180579       276.000     
  161 5  0.213333       102.113      1.785335E-02  0.198680       228.000     
  162 5  0.214667       100.218      2.274232E-02  0.179284       280.000     
  163 5  0.216000       103.158     -3.270649E-03  0.187500       256.000     
  164 5  0.217333       103.228     -3.547769E-02  0.190500       248.000     
  165 5  0.218667       100.708      1.988629E-02  0.190500       248.000     
  166 5  0.220000       99.0520      6.407872E-02  0.184637       264.000     
  167 5  0.221333       101.670      4.370987E-02  0.180579       276.000     
  168 5  0.222667       109.925     -7.898494E-02  0.192055       244.000     
  169 5  0.224000       102.112      5.046273E-02  0.192055       244.000     
  170 5  0.225333       108.798     -1.125113E-02  0.179284       280.000     
  171 5  0.226667       95.8341      0.125852      0.184637       264.000     
  172 5  0.228000       101.897      2.740314E-02  0.179284       280.000     
  173 5  0.229333       114.562     -0.165136      0.192055       244.000     
  174 5  0.230667       106.759     -2.877194E-02  0.175562       292.000     
  175 5  0.232000       98.3124      2.235906E-02  0.186052       260.000     
  176 5  0.233333       107.672     -8.704591E-02  0.179284       280.000     
  177 5  0.234667       100.282      8.751594E-03  0.184637       264.000     
  178 5  0.236000       101.952      6.503128E-03  0.179284       280.000     
  179 5  0.237333       100.627     -4.082532E-03  0.188982       252.000     
  180 5  0.238667       105.963     -3.830722E-02  0.166667       324.000     
  181 5  0.240000       103.157      3.583830E-02  0.183254       268.000     
  182 5  0.241333       109.099      2.322265E-03  0.176777       288.000     
  183 5  0.242667       99.7210      1.544679E-02  0.181902       272.000     
  184 5  0.244000       102.837      2.408462E-02  0.172062       304.000     
  185 5  0.245333       111.533     -0.125556      0.190500       248.000     
  186 5  0.246667       100.010      2.616392E-02  0.167705       320.000     
  187 5  0.248000       103.159      1.752176E-05  0.186052       260.000     
  188 5  0.249333       98.6202      2.728873E-02  0.164646       332.000     
  189 5  0.250667       99.6517      5.032916E-02  0.190500       248.000     
  190 5  0.252000       102.967     -3.855388E-02  0.164646       332.000     
  191 5  0.253333       103.873     -2.514698E-02  0.180579       276.000     
  192 5  0.254667       101.876      1.407229E-02  0.168763       316.000     
  193 5  0.256000       103.313      1.693116E-03  0.184637       264.000     
  194 5  0.257333       101.471      5.948107E-02  0.163663       336.000     
  195 5  0.258667       102.328      6.318961E-03  0.184637       264.000     
  196 5  0.260000       103.429      2.582905E-02  0.166667       324.000     
  197 5  0.261333       104.866     -9.281921E-03  0.173205       300.000     
  198 5  0.262667       101.541      2.330002E-02  0.160817       348.000     
  199 5  0.264000       96.3395      8.354758E-02  0.187500       256.000     
  200 5  0.265333       102.280     -9.607922E-03  0.156386       368.000     
  201 5  0.266667       104.798     -5.431838E-02  0.181902       272.000     
  202 5  0.268000       105.836     -5.390955E-02  0.159901       352.000     
  203 5  0.269333       104.907     -2.324450E-02  0.181902       272.000     
  204 5  0.270667       99.8100      4.855666E-02  0.162698       340.000     
  205 5  0.272000       102.508      3.222901E-02  0.173205       300.000     
  206 5  0.273333       103.621      7.871057E-03  0.159000       356.000     
  207 5  0.274667       96.5421      9.384666E-02  0.169842       312.000     
  208 5  0.276000       105.126     -2.191329E-02  0.158114       360.000     
  209 5  0.277333       104.506      2.545238E-02  0.184637       264.000     
  210 5  0.278667       98.4848      6.084870E-02  0.159000       356.000     
  211 5  0.280000       99.7667      8.946237E-02  0.173205       300.000     
  212 5  0.281333       100.110      3.213166E-02  0.160817       348.000     
  213 5  0.282667       101.463      4.634450E-02  0.174371       296.000     
  214 5  0.284000       104.535     -1.505769E-02  0.156386       368.000     
  215 5  0.285333       98.3762      9.180635E-02  0.163663       336.000     
  216 5  0.286667       103.622     -2.490722E-02  0.162698       340.000     
  217 5  0.288000       103.870     -1.241285E-02  0.164646       332.000     
  218 5  0.289333       108.380     -9.013403E-02  0.162698       340.000     
  219 5  0.290667       102.357     -7.291851E-03  0.166667       324.000     
  220 5  0.292000       97.2394      9.108769E-02  0.157243       364.000     
  221 5  0.293333       108.245     -8.873869E-02  0.167705       320.000     
  222 5  0.294667       103.989     -2.257050E-02  0.151523       392.000     
  223 5  0.296000       99.2452      3.566739E-02  0.176777       288.000     
  224 5  0.297333       104.036     -4.885452E-02  0.149256       404.000     
  225 5  0.298667       102.523      2.518151E-02  0.168763       316.000     
  226 5  0.300000       106.357     -2.103648E-02  0.153897       380.000     
  227 5  0.301333       105.647      2.288483E-04  0.165647       328.000     
  228 5  0.302667       106.490      7.413546E-03  0.154713       376.000     
  229 5  0.304000       107.598     -5.109819E-02  0.169842       312.000     
  230 5  0.305333       103.162      2.900374E-02  0.153897       380.000     
  231 5  0.306667       99.5575      5.403442E-02  0.162698       340.000     
  232 5  0.308000       108.072     -7.584523E-02  0.145010       428.000     
  233 5  0.309333       102.869      2.267375E-02  0.176777       288.000     
  234 5  0.310667       106.546     -3.398092E-02  0.147087       416.000     
  235 5  0.312000       101.233      4.167683E-02  0.161749       344.000     
  236 5  0.313333       103.739     -1.790937E-02  0.151523       392.000     
  237 5  0.314667       104.712     -2.983676E-02  0.165647       328.000     
  238 5  0.316000       109.324     -6.208695E-02  0.149256       404.000     
  239 5  0.317333       107.101     -4.913940E-02  0.162698       340.000     
  240 5  0.318667       104.593     -7.770925E-03  0.150756       396.000     
  241 5  0.320000       102.349      2.114451E-02  0.156386       368.000     
  242 5  0.321333       102.659     -2.102938E-02  0.147087       416.000     
  243 5  0.322667       106.692     -3.995307E-02  0.169842       312.000     
  244 5  0.324000       96.3941      7.976597E-02  0.147799       412.000     
  245 5  0.325333       106.237     -4.639588E-02  0.157243       364.000     
  246 5  0.326667       102.328      2.465785E-02  0.147799       412.000     
  247 5  0.328000       103.585     -6.073047E-04  0.163663       336.000     
  248 5  0.329333       98.4609      4.835101E-02  0.147087       416.000     
  249 5  0.330667       101.787      3.875487E-02  0.154713       376.000     
  250 5  0.332000       107.540     -2.666608E-02  0.149256       404.000     
  251 5  0.333333       104.152      2.191278E-02  0.153897       380.000     
  252 5  0.334667       108.977     -4.997285E-02  0.143674       436.000     
  253 5  0.336000       103.524      1.299912E-02  0.162698       340.000     
  254 5  0.337333       100.913      3.482053E-02  0.145010       428.000     
  255 5  0.338667       106.613     -2.172076E-02  0.153093       384.000     
  256 5  0.340000       98.8514      4.619509E-02  0.150000       400.000     
  257 5  0.341333       102.810     -1.169385E-02  0.154713       376.000     
  258 5  0.342667       106.358     -5.022696E-02  0.145010       428.000     
  259 5  0.344000       104.660     -1.152198E-02  0.147799       412.000     
  260 5  0.345333       109.150     -7.360107E-02  0.146385       420.000     
  261 5  0.346667       101.285     -2.178135E-03  0.154713       376.000     
  262 5  0.348000       106.643     -4.377353E-02  0.141737       448.000     
  263 5  0.349333       102.197      1.930596E-02  0.161749       344.000     
  264 5  0.350667       101.460      5.659074E-02  0.143674       436.000     
  265 5  0.352000       101.262     -1.361087E-02  0.150756       396.000     
  266 5  0.353333       101.638      1.309084E-02  0.142374       444.000     
  267 5  0.354667       107.467     -3.649746E-02  0.153093       384.000     
  268 5  0.356000       104.781      4.479237E-03  0.143019       440.000     
  269 5  0.357333       98.1477      5.150724E-02  0.147087       416.000     
  270 5  0.358667       102.468     -1.685185E-02  0.144338       432.000     
  271 5  0.360000       102.230      2.529160E-03  0.150000       400.000     
  272 5  0.361333       106.686     -6.121803E-02  0.138675       468.000     
  273 5  0.362667       101.061      3.649901E-02  0.155543       372.000     
  274 5  0.364000       103.421      1.968098E-02  0.142374       444.000     
  275 5  0.365333       97.9703      8.915212E-02  0.145693       424.000     
  276 5  0.366667       106.460     -1.542928E-02  0.138086       472.000     
  277 5  0.368000       102.900      3.302904E-02  0.156386       368.000     
  278 5  0.369333       98.9991      0.122297      0.138675       468.000     
  279 5  0.370667       105.075      2.155666E-02  0.146385       420.000     
  280 5  0.372000       105.289     -2.131409E-03  0.141108       452.000     
