 ;spi/dat   15-JAN-2014 AT 10:53:45   rfsn_doc.dat
 ; RADIUS NORM.RAD        SSNR         NVALS       VARIANCE
  266 4  0.353333      2.647305E-02   222.000       1.02845     
  267 4  0.354667       0.00000       192.000       1.00261     
  268 4  0.356000      8.967996E-03   220.000       1.01123     
  269 4  0.357333      0.108516       208.000       1.10588     
  270 4  0.358667       0.00000       216.000       1.00232     
  271 4  0.360000      5.050421E-03   200.000       1.00756     
  272 4  0.361333       0.00000       234.000       1.00214     
  273 4  0.362667      7.571006E-02   186.000       1.07595     
  274 4  0.364000      4.006112E-02   222.000       1.04164     
  275 4  0.365333      0.193755       212.000       1.18079     
  276 4  0.366667       0.00000       236.000       1.00213     
  277 4  0.368000      6.831372E-02   184.000       1.06905     
  278 4  0.369333      0.277327       234.000       1.24966     
  279 4  0.370667      4.406369E-02   210.000       1.04563     
  280 4  0.372000       0.00000       226.000       1.00222     
  281 4  0.373333      0.168268       208.000       1.15893     
  282 4  0.374667      1.372814E-02   224.000       1.01591     
  283 4  0.376000       0.00000       212.000       1.00237     
  284 4  0.377333       0.00000       230.000       1.00218     
  285 4  0.378667      6.326449E-02   214.000       1.06388     
  286 4  0.380000      1.091468E-02   250.000       1.01288     
  287 4  0.381333      5.525422E-02   198.000       1.05649     
  288 4  0.382667       0.00000       226.000       1.00222     
  289 4  0.384000      7.965040E-02   224.000       1.07913     
  290 4  0.385333       0.00000       240.000       1.00209     
  291 4  0.386667       0.00000       208.000       1.00241     
  292 4  0.388000       0.00000       246.000       1.00204     
  293 4  0.389333      0.128481       218.000       1.12376     
  294 4  0.390667       0.00000       234.000       1.00214     
  295 4  0.392000      4.335845E-02   224.000       1.04480     
  296 4  0.393333      2.342761E-02   248.000       1.02523     
  297 4  0.394667      3.281248E-02   212.000       1.03474     
  298 4  0.396000      4.648447E-03   230.000       1.00683     
  299 4  0.397333       0.00000       226.000       1.00222     
  300 4  0.398667       0.00000       258.000       1.00194     
  301 4  0.400000      4.150653E-02   208.000       1.04319     
  302 4  0.401333       0.00000       264.000       1.00190     
  303 4  0.402667      3.673708E-02   216.000       1.03850     
  304 4  0.404000       0.00000       252.000       1.00199     
  305 4  0.405333       0.00000       228.000       1.00220     
  306 4  0.406667       0.00000       254.000       1.00197     
  307 4  0.408000      0.115536       222.000       1.11207     
  308 4  0.409333      0.125859       234.000       1.12123     
  309 4  0.410667       0.00000       244.000       1.00206     
  310 4  0.412000      0.133536       260.000       1.12784     
  311 4  0.413333      0.130365       220.000       1.12542     
  312 4  0.414667      0.135092       270.000       1.12915     
  313 4  0.416000       0.00000       222.000       1.00226     
  314 4  0.417333       0.00000       258.000       1.00194     
  315 4  0.418667      3.400230E-02   224.000       1.03576     
  316 4  0.420000       0.00000       272.000       1.00184     
  317 4  0.421333      0.114125       220.000       1.11082     
  318 4  0.422667       0.00000       258.000       1.00194     
  319 4  0.424000      1.572394E-02   254.000       1.01761     
  320 4  0.425333      0.112411       258.000       1.10889     
  321 4  0.426667       0.00000       234.000       1.00214     
  322 4  0.428000       0.00000       254.000       1.00197     
  323 4  0.429333       0.00000       244.000       1.00206     
  324 4  0.430667       0.00000       272.000       1.00184     
  325 4  0.432000      8.850360E-02   224.000       1.08735     
  326 4  0.433333       0.00000       282.000       1.00178     
  327 4  0.434667      6.835377E-02   242.000       1.06838     
  328 4  0.436000      0.150051       262.000       1.14244     
  329 4  0.437333      6.444812E-02   256.000       1.06458     
  330 4  0.438667      2.051961E-02   272.000       1.02219     
  331 4  0.440000      0.127237       244.000       1.12236     
  332 4  0.441333      6.430984E-02   254.000       1.06447     
  333 4  0.442667       0.00000       254.000       1.00197     
  334 4  0.444000      0.151642       262.000       1.14384     
  335 4  0.445333       0.00000       244.000       1.00206     
  336 4  0.446667       0.00000       296.000       1.00169     
  337 4  0.448000       0.00000       248.000       1.00202     
  338 4  0.449333       0.00000       268.000       1.00187     
  339 4  0.450667      3.365004E-02   244.000       1.03523     
  340 4  0.452000       0.00000       298.000       1.00168     
