 ;spi/dat   30-JUN-2016 AT 10:29:21   tflis_doc.dat
 ;             DEFOCUS  RAD_FIRST_MIN(PIX)  RAD_FIRST_ZERO(PIX)
 ;     998 3   48600.0       22.0000       32.0000    
 ;  -------------------
 ;             DEFOCUS  RAD_FIRST_MIN(A)  RAD_FIRST_ZERO(A)
 ;     999 3   48600.0       43.8545       31.1226    
 ;  -------------------
 ;   TRANSFER:
 ;        RAD(1/PIX),    RAD(1/A),  STRAIGHT,     -STRAIGHT,      FLIPPED,      TRAPPED,     ENVELOPE,    DIFFRACTOGRAM
   85 8  0.233333      8.706468E-02  0.949725     -0.949725      -1.00000     -0.949725       1.00000      0.901977     
   86 8  0.236111      8.810116E-02  0.972452     -0.972452      -1.00000     -0.972452       1.00000      0.945663     
   87 8  0.238889      8.913764E-02  0.699921     -0.699921      -1.00000     -0.699921       1.00000      0.489889     
   88 8  0.241667      9.017412E-02  0.206999     -0.206999      -1.00000     -0.206999       1.00000      4.284872E-02 
   89 8  0.244444      9.121061E-02 -0.356766      0.356766       1.00000      0.356766       1.00000      0.127282     
   90 8  0.247222      9.224709E-02 -0.810293      0.810293       1.00000      0.810293       1.00000      0.656574     
   91 8  0.250000      9.328358E-02 -0.999210      0.999210       1.00000      0.999210       1.00000      0.998420     
   92 8  0.252778      9.432007E-02 -0.850876      0.850876       1.00000      0.850876       1.00000      0.723990     
   93 8  0.255556      9.535655E-02 -0.406123      0.406123       1.00000      0.406123       1.00000      0.164936     
   94 8  0.258333      9.639303E-02  0.186671     -0.186671      -1.00000     -0.186671       1.00000      3.484619E-02 
   95 8  0.261111      9.742951E-02  0.717552     -0.717552      -1.00000     -0.717552       1.00000      0.514881     
   96 8  0.263889      9.846600E-02  0.988548     -0.988548      -1.00000     -0.988548       1.00000      0.977227     
   97 8  0.266667      9.950249E-02  0.889711     -0.889711      -1.00000     -0.889711       1.00000      0.791585     
   98 8  0.269444      0.100539      0.448076     -0.448076      -1.00000     -0.448076       1.00000      0.200772     
   99 8  0.272222      0.101575     -0.173136      0.173136       1.00000      0.173136       1.00000      2.997597E-02 
  100 8  0.275000      0.102612     -0.730574      0.730574       1.00000      0.730574       1.00000      0.533738     
  101 8  0.277778      0.103648     -0.995009      0.995009       1.00000      0.995009       1.00000      0.990042     
  102 8  0.280556      0.104685     -0.848182      0.848182       1.00000      0.848182       1.00000      0.719413     
  103 8  0.283333      0.105721     -0.340851      0.340851       1.00000      0.340851       1.00000      0.116179     
  104 8  0.286111      0.106758      0.317829     -0.317829      -1.00000     -0.317829       1.00000      0.101016     
  105 8  0.288889      0.107794      0.842129     -0.842129      -1.00000     -0.842129       1.00000      0.709182     
  106 8  0.291667      0.108831      0.993426     -0.993426      -1.00000     -0.993426       1.00000      0.986895     
  107 8  0.294444      0.109867      0.692713     -0.692713      -1.00000     -0.692713       1.00000      0.479851     
  108 8  0.297222      0.110904      6.784174E-02 -6.784174E-02  -1.00000     -6.784174E-02   1.00000      4.602502E-03 
  109 8  0.300000      0.111940     -0.593965      0.593965       1.00000      0.593965       1.00000      0.352795     
  110 8  0.302778      0.112977     -0.974919      0.974919       1.00000      0.974919       1.00000      0.950467     
  111 8  0.305556      0.114013     -0.881166      0.881166       1.00000      0.881166       1.00000      0.776453     
  112 8  0.308333      0.115050     -0.347492      0.347492       1.00000      0.347492       1.00000      0.120751     
  113 8  0.311111      0.116086      0.366324     -0.366324      -1.00000     -0.366324       1.00000      0.134193     
  114 8  0.313889      0.117123      0.896370     -0.896370      -1.00000     -0.896370       1.00000      0.803480     
  115 8  0.316667      0.118159      0.960028     -0.960028      -1.00000     -0.960028       1.00000      0.921654     
  116 8  0.319444      0.119196      0.512075     -0.512075      -1.00000     -0.512075       1.00000      0.262221     
  117 8  0.322222      0.120232     -0.216670      0.216670       1.00000      0.216670       1.00000      4.694571E-02 
  118 8  0.325000      0.121269     -0.831017      0.831017       1.00000      0.831017       1.00000      0.690589     
  119 8  0.327778      0.122305     -0.983992      0.983992       1.00000      0.983992       1.00000      0.968239     
  120 8  0.330556      0.123342     -0.577832      0.577832       1.00000      0.577832       1.00000      0.333890     
  121 8  0.333333      0.124378      0.165232     -0.165232      -1.00000     -0.165232       1.00000      2.730149E-02 
  122 8  0.336111      0.125415      0.816061     -0.816061      -1.00000     -0.816061       1.00000      0.665956     
  123 8  0.338889      0.126451      0.984050     -0.984050      -1.00000     -0.984050       1.00000      0.968354     
  124 8  0.341667      0.127488      0.556655     -0.556655      -1.00000     -0.556655       1.00000      0.309865     
  125 8  0.344444      0.128524     -0.216031      0.216031       1.00000      0.216031       1.00000      4.666960E-02 
  126 8  0.347222      0.129561     -0.858510      0.858510       1.00000      0.858510       1.00000      0.737040     
  127 8  0.350000      0.130597     -0.960313      0.960313       1.00000      0.960313       1.00000      0.922201     
  128 8  0.352778      0.131633     -0.444393      0.444393       1.00000      0.444393       1.00000      0.197485     
  129 8  0.355556      0.132670      0.364997     -0.364997      -1.00000     -0.364997       1.00000      0.133223     
  130 8  0.358333      0.133706      0.937108     -0.937108      -1.00000     -0.937108       1.00000      0.878172     
  131 8  0.361111      0.134743      0.882054     -0.882054      -1.00000     -0.882054       1.00000      0.778019     
  132 8  0.363889      0.135779      0.224636     -0.224636      -1.00000     -0.224636       1.00000      5.046156E-02 
  133 8  0.366667      0.136816     -0.592021      0.592021       1.00000      0.592021       1.00000      0.350489     
  134 8  0.369444      0.137852     -0.997509      0.997509       1.00000      0.997509       1.00000      0.995024     
  135 8  0.372222      0.138889     -0.694879      0.694879       1.00000      0.694879       1.00000      0.482857     
  136 8  0.375000      0.139925      0.111149     -0.111149      -1.00000     -0.111149       1.00000      1.235410E-02 
  137 8  0.377778      0.140962      0.840123     -0.840123      -1.00000     -0.840123       1.00000      0.705807     
  138 8  0.380556      0.141998      0.949439     -0.949439      -1.00000     -0.949439       1.00000      0.901434     
  139 8  0.383333      0.143035      0.345072     -0.345072      -1.00000     -0.345072       1.00000      0.119074     
  140 8  0.386111      0.144071     -0.525499      0.525499       1.00000      0.525499       1.00000      0.276149     
  141 8  0.388889      0.145108     -0.994451      0.994451       1.00000      0.994451       1.00000      0.988932     
  142 8  0.391667      0.146144     -0.687160      0.687160       1.00000      0.687160       1.00000      0.472188     
  143 8  0.394444      0.147181      0.166733     -0.166733      -1.00000     -0.166733       1.00000      2.779977E-02 
  144 8  0.397222      0.148217      0.890800     -0.890800      -1.00000     -0.890800       1.00000      0.793524     
  145 8  0.400000      0.149254      0.893203     -0.893203      -1.00000     -0.893203       1.00000      0.797811     
  146 8  0.402778      0.150290      0.159151     -0.159151      -1.00000     -0.159151       1.00000      2.532902E-02 
  147 8  0.405556      0.151327     -0.711211      0.711211       1.00000      0.711211       1.00000      0.505821     
  148 8  0.408333      0.152363     -0.984210      0.984210       1.00000      0.984210       1.00000      0.968669     
  149 8  0.411111      0.153400     -0.415783      0.415783       1.00000      0.415783       1.00000      0.172875     
  150 8  0.413889      0.154436      0.515601     -0.515601      -1.00000     -0.515601       1.00000      0.265844     
  151 8  0.416667      0.155473      0.998643     -0.998643      -1.00000     -0.998643       1.00000      0.997288     
  152 8  0.419444      0.156509      0.596730     -0.596730      -1.00000     -0.596730       1.00000      0.356086     
  153 8  0.422222      0.157546     -0.343420      0.343420       1.00000      0.343420       1.00000      0.117937     
  154 8  0.425000      0.158582     -0.975060      0.975060       1.00000      0.975060       1.00000      0.950743     
  155 8  0.427778      0.159619     -0.711549      0.711549       1.00000      0.711549       1.00000      0.506302     
  156 8  0.430556      0.160655      0.215998     -0.215998      -1.00000     -0.215998       1.00000      4.665514E-02 
  157 8  0.433333      0.161692      0.943680     -0.943680      -1.00000     -0.943680       1.00000      0.890533     
  158 8  0.436111      0.162728      0.774330     -0.774330      -1.00000     -0.774330       1.00000      0.599587     
  159 8  0.438889      0.163765     -0.142687      0.142687       1.00000      0.142687       1.00000      2.035967E-02 
  160 8  0.441667      0.164801     -0.924031      0.924031       1.00000      0.924031       1.00000      0.853833     
  161 8  0.444444      0.165837     -0.796406      0.796406       1.00000      0.796406       1.00000      0.634263     
  162 8  0.447222      0.166874      0.126556     -0.126556      -1.00000     -0.126556       1.00000      1.601638E-02 
  163 8  0.450000      0.167910      0.925228     -0.925228      -1.00000     -0.925228       1.00000      0.856048     
  164 8  0.452778      0.168947      0.782565     -0.782565      -1.00000     -0.782565       1.00000      0.612408     
  165 8  0.455556      0.169983     -0.168080      0.168080       1.00000      0.168080       1.00000      2.825099E-02 
  166 8  0.458333      0.171020     -0.946752      0.946752       1.00000      0.946752       1.00000      0.896340     
  167 8  0.461111      0.172056     -0.729771      0.729771       1.00000      0.729771       1.00000      0.532565     
  168 8  0.463889      0.173093      0.265823     -0.265823      -1.00000     -0.265823       1.00000      7.066168E-02 
  169 8  0.466667      0.174129      0.978398     -0.978398      -1.00000     -0.978398       1.00000      0.957262     
  170 8  0.469444      0.175166      0.628039     -0.628039      -1.00000     -0.628039       1.00000      0.394433     
  171 8  0.472222      0.176202     -0.414512      0.414512       1.00000      0.414512       1.00000      0.171820     
  172 8  0.475000      0.177239     -0.999535      0.999535       1.00000      0.999535       1.00000      0.999071     
  173 8  0.477778      0.178275     -0.463485      0.463485       1.00000      0.463485       1.00000      0.214819     
  174 8  0.480556      0.179312      0.600331     -0.600331      -1.00000     -0.600331       1.00000      0.360397     
  175 8  0.483333      0.180348      0.978982     -0.978982      -1.00000     -0.978982       1.00000      0.958405     
  176 8  0.486111      0.181385      0.224753     -0.224753      -1.00000     -0.224753       1.00000      5.051385E-02 
  177 8  0.488889      0.182421     -0.794695      0.794695       1.00000      0.794695       1.00000      0.631541     
  178 8  0.491667      0.183458     -0.877890      0.877890       1.00000      0.877890       1.00000      0.770691     
  179 8  0.494444      0.184494      8.655032E-02 -8.655032E-02  -1.00000     -8.655032E-02   1.00000      7.490958E-03 
  180 8  0.497222      0.185531      0.949358     -0.949358      -1.00000     -0.949358       1.00000      0.901281     
  181 8  0.500000      0.186567      0.658928     -0.658928      -1.00000     -0.658928       1.00000      0.434187     
