
 ;spi/dat   13-JAN-2014 AT 10:40:39   pdbpts_doc.dat

  100 7   44.0180       10.4850       36.4210       200800.       37.7900       17011.0       0.00000     
  101 7   46.6980       12.0960       36.2310       200602.       29.6900       17011.0       0.00000     
  102 7   48.1870       12.2480       35.9150       200608.       29.6900       17011.0       0.00000     
  103 7   46.3570       13.0610       37.3460       200608.       29.6900       17011.0       0.00000     
  104 7   48.6550       11.4130       34.7590       200605.       29.6900       17011.0       0.00000     
  105 7   44.8360       10.5850       38.5080       70700.0       31.8600       18011.0       0.00000     
  106 7   43.5280       10.5150       39.1240       70601.0       31.8600       18011.0       0.00000     
  107 7   43.4940       11.3600       40.3860       70600.0       31.8600       18011.0       0.00000     
  108 7   44.4180       11.3180       41.2000       70800.0       31.8600       18011.0       0.00000     
  109 7   43.1980       9.08600       39.4420       70602.0       11.4300       18011.0       0.00000     
  110 7   42.4220       12.1270       40.5540       70700.0       20.6900       19011.0       0.00000     
  111 7   42.3030       12.9790       41.7250       70601.0       20.6900       19011.0       0.00000     
  112 7   40.8580       13.3940       42.0320       70600.0       20.6900       19011.0       0.00000     
  113 7   39.9480       13.1670       41.2450       70800.0       20.6900       19011.0       0.00000     
  114 7   43.1760       14.2110       41.5280       70602.0       25.5900       19011.0       0.00000     
  115 7   40.6450       13.9830       43.2000       120700.       34.6200       20011.0       0.00000     
  116 7   39.3070       14.4300       43.5310       120601.       34.6200       20011.0       0.00000     
  117 7   39.0250       15.5390       42.5310       120600.       34.6200       20011.0       0.00000     
  118 7   39.9330       16.2830       42.1510       120800.       34.6200       20011.0       0.00000     
  119 7   39.2380       14.9630       44.9700       120602.       39.7400       20011.0       0.00000     
  120 7   37.8580       15.3610       45.4030       120608.       39.7400       20011.0       0.00000     
  121 7   37.3050       16.5900       45.1100       120700.       39.7400       20011.0       0.00000     
  122 7   36.9080       14.6800       46.0870       120605.       39.7400       20011.0       0.00000     
  123 7   36.0770       16.6490       45.5940       120603.       39.7400       20011.0       0.00000     
  124 7   35.8110       15.5020       46.1910       120703.       39.7400       20011.0       0.00000     
  125 7   37.7760       15.6220       42.0830       200700.       39.3900       21011.0       0.00000     
  126 7   37.3810       16.6410       41.1310       200601.       39.3900       21011.0       0.00000     
  127 7   38.0390       17.9650       41.5170       200600.       39.3900       21011.0       0.00000     
  128 7   38.2070       18.2820       42.6940       200800.       39.3900       21011.0       0.00000     
  129 7   35.8340       16.8220       41.0980       200602.       45.7800       21011.0       0.00000     
  130 7   35.4550       17.8900       40.0840       200608.       45.7800       21011.0       0.00000     
  131 7   35.3120       17.2630       42.4500       200608.       45.7800       21011.0       0.00000     
  132 7   35.6810       17.4680       38.6710       200605.       45.7800       21011.0       0.00000     
  133 7   38.4460       18.7150       40.5120       200700.       29.9600       22011.0       0.00000     
  134 7   39.0660       20.0020       40.7250       200601.       29.9600       22011.0       0.00000     
  135 7   40.4180       20.0340       41.4470       200600.       29.9600       22011.0       0.00000     
  136 7   40.9400       21.1170       41.7040       200800.       29.9600       22011.0       0.00000     
  137 7   38.0910       20.9110       41.4560       200602.       32.2400       22011.0       0.00000     
  138 7   38.3080       22.3630       41.1220       200608.       32.2400       22011.0       0.00000     
  139 7   38.1000       22.7210       39.9420       200805.       32.2400       22011.0       0.00000     
  140 7   38.6860       23.1410       42.0240       200800.       32.2400       22011.0       0.00000     
  141 7   41.0040       18.8750       41.7480       70700.0       28.5500       23011.0       0.00000     
  142 7   42.2870       18.8470       42.4620       70601.0       28.5500       23011.0       0.00000     
  143 7   43.4960       19.1820       41.6030       70600.0       28.5500       23011.0       0.00000     
  144 7   44.5200       19.6530       42.1070       70800.0       28.5500       23011.0       0.00000     
  145 7   42.4930       17.5060       43.1000       70602.0       27.6400       23011.0       0.00000     
  146 7   43.4010       18.9200       40.3060       30700.0       22.8600       24011.0       0.00000     
  147 7   44.5260       19.2330       39.4670       30601.0       22.8600       24011.0       0.00000     
  148 7   44.9070       18.1590       38.4900       30600.0       22.8600       24011.0       0.00000     
  149 7   46.0390       18.1340       38.0370       30800.0       22.8600       24011.0       0.00000     
  150 7   43.9820       17.2750       38.1440       80700.0       35.0600       25011.0       0.00000     
  151 7   44.3050       16.2320       37.1840       80601.0       35.0600       25011.0       0.00000     
  152 7   44.6380       16.7990       35.7900       80600.0       35.0600       25011.0       0.00000     
  153 7   45.7140       16.5460       35.2400       80800.0       35.0600       25011.0       0.00000     
  154 7   43.1560       15.2440       37.0570       80602.0       20.5100       25011.0       0.00000     
  155 7   43.3350       14.3250       35.8670       80608.0       20.5100       25011.0       0.00000     
