 ;spi/mrf   19-AUG-2013 AT 09:29:41   power/flipctf1955.mrf
  246 4  -1.00000      0.371212      0.267059     -0.832537     
  247 4   1.00000      0.372727      0.268149      0.113745     
  248 4   1.00000      0.374242      0.269239      0.679300     
  249 4  -1.00000      0.375758      0.270330     -0.999611     
  250 4   1.00000      0.377273      0.271419      0.644107     
  251 4   1.00000      0.378788      0.272509      0.133900     
  252 4  -1.00000      0.380303      0.273599     -0.818934     
  253 4   1.00000      0.381818      0.274689      0.979024     
  254 4  -1.00000      0.383333      0.275779     -0.529573     
  255 4  -1.00000      0.384848      0.276869     -0.238344     
  256 4   1.00000      0.386364      0.277960      0.857545     
  257 4  -1.00000      0.387879      0.279050     -0.971184     
  258 4   1.00000      0.389394      0.280140      0.529492     
  259 4   1.00000      0.390909      0.281229      0.203886     
  260 4  -1.00000      0.392424      0.282319     -0.819078     
  261 4   1.00000      0.393939      0.283409      0.990951     
  262 4  -1.00000      0.395455      0.284500     -0.643701     
  263 4  -1.00000      0.396970      0.285590     -2.859789E-02 
  264 4   1.00000      0.398485      0.286680      0.680028     
  265 4  -1.00000      0.400000      0.287770     -0.993669     
  266 4   1.00000      0.401515      0.288860      0.831528     
  267 4  -1.00000      0.403030      0.289950     -0.285014     
  268 4  -1.00000      0.404545      0.291040     -0.384715     
  269 4   1.00000      0.406061      0.292130      0.877215     
  270 4  -1.00000      0.407576      0.293220     -0.986308     
  271 4   1.00000      0.409091      0.294310      0.679840     
  272 4  -1.00000      0.410606      0.295400     -9.855861E-02 
  273 4  -1.00000      0.412121      0.296490     -0.515265     
  274 4   1.00000      0.413636      0.297580      0.921784     
  275 4  -1.00000      0.415152      0.298671     -0.974953     
  276 4   1.00000      0.416667      0.299760      0.668870     
  277 4  -1.00000      0.418182      0.300850     -0.127308     
  278 4  -1.00000      0.419697      0.301940     -0.451628     
  279 4   1.00000      0.421212      0.303030      0.870459     
  280 4  -1.00000      0.422727      0.304120     -0.997945     
  281 4   1.00000      0.424242      0.305210      0.805591     
  282 4  -1.00000      0.425758      0.306301     -0.366589     
  283 4  -1.00000      0.427273      0.307391     -0.176336     
  284 4   1.00000      0.428788      0.308481      0.660263     
  285 4  -1.00000      0.430303      0.309571     -0.950957     
  286 4   1.00000      0.431818      0.310660      0.977606     
  287 4  -1.00000      0.433333      0.311750     -0.745360     
  288 4   1.00000      0.434848      0.312840      0.325953     
  289 4   1.00000      0.436364      0.313931      0.167634     
  290 4  -1.00000      0.437879      0.315021     -0.613139     
  291 4   1.00000      0.439394      0.316111      0.909916     
  292 4  -1.00000      0.440909      0.317201     -0.998914     
  293 4   1.00000      0.442424      0.318291      0.871664     
  294 4  -1.00000      0.443939      0.319381     -0.565933     
  295 4   1.00000      0.445455      0.320471      0.152671     
  296 4   1.00000      0.446970      0.321561      0.282547     
  297 4  -1.00000      0.448485      0.322651     -0.657457     
  298 4   1.00000      0.450000      0.323741      0.908573     
  299 4  -1.00000      0.451515      0.324831     -0.999851     
  300 4   1.00000      0.453030      0.325921      0.925733     
  301 4  -1.00000      0.454545      0.327011     -0.707838     
  302 4   1.00000      0.456061      0.328101      0.388151     
  303 4  -1.00000      0.457576      0.329191     -1.935945E-02 
  304 4  -1.00000      0.459091      0.330281     -0.344116     
  305 4   1.00000      0.460606      0.331371      0.654231     
  306 4  -1.00000      0.462121      0.332461     -0.875598     
  307 4   1.00000      0.463636      0.333551      0.987336     
  308 4  -1.00000      0.465152      0.334642     -0.984391     
  309 4   1.00000      0.466667      0.335732      0.875394     
  310 4  -1.00000      0.468182      0.336822     -0.679541     
