 ;bat/dat   27-JAN-2004 AT 12:34:23   PIX453/PIX453doc.dat
  434 2  434.00      4.0000    
  435 2  435.00      4.0000    
  436 2  436.00      5.0000    
  437 2  437.00      4.0000    
  438 2  438.00      8.0000    
  439 2  439.00      2.0000    
  440 2  440.00      1.0000    
  441 2  441.00      2.0000    
  442 2  442.00      1.0000    
  443 2  443.00      5.0000    
  444 2  444.00      6.0000    
  445 2  445.00      1.0000    
  446 2  446.00      1.0000    
  447 2  447.00      7.0000    
  448 2  448.00      5.0000    
  449 2  449.00      4.0000    
  450 2  450.00      5.0000    
  451 2  451.00      2.0000    
  452 2  452.00      2.0000    
  453 2  453.00      5.0000    
  454 2  454.00      2.0000    
  455 2  455.00      5.0000    
  456 2  456.00      1.0000    
  457 2  457.00      4.0000    
  458 2  458.00      2.0000    
  459 2  459.00      4.0000    
  460 2  460.00      1.0000    
  461 2  461.00      2.0000    
  462 2  462.00      1.0000    
  463 2  463.00      6.0000    
  464 2  464.00      6.0000    
  465 2  465.00      8.0000    
  466 2  466.00      5.0000    
  467 2  467.00      8.0000    
  468 2  468.00      1.0000    
  469 2  469.00      4.0000    
  470 2  470.00      1.0000    
  471 2  471.00      7.0000    
  472 2  472.00      1.0000    
  473 2  473.00      5.0000    
  474 2  474.00      1.0000    
  475 2  475.00      3.0000    
  476 2  476.00      2.0000    
  477 2  477.00      4.0000    
  478 2  478.00      2.0000    
  479 2  479.00      5.0000    
  480 2  480.00      4.0000    
  481 2  481.00      1.0000    
  482 2  482.00      5.0000    
  483 2  483.00      1.0000    
  484 2  484.00      7.0000    
  485 2  485.00      5.0000    
  486 2  486.00      5.0000    
  487 2  487.00      2.0000    
  488 2  488.00      1.0000    
  489 2  489.00      1.0000    
  490 2  490.00      5.0000    
  491 2  491.00      2.0000    
  492 2  492.00      7.0000    
  493 2  493.00      6.0000    
  494 2  494.00      4.0000    
  495 2  495.00      2.0000    
  496 2  496.00      5.0000    
  497 2  497.00      5.0000    
  498 2  498.00      2.0000    
  499 2  499.00      2.0000    
  500 2  500.00      5.0000    
  501 2  501.00      1.0000    
  502 2  502.00      5.0000    
  503 2  503.00      2.0000    
  504 2  504.00      2.0000    
  505 2  505.00      2.0000    
  506 2  506.00      2.0000    
  507 2  507.00      5.0000    
  508 2  508.00      4.0000    
  509 2  509.00      2.0000    
  510 2  510.00      5.0000    
  511 2  511.00      7.0000    
  512 2  512.00      2.0000    
  513 2  513.00      2.0000    
  514 2  514.00      2.0000    
  515 2  515.00      2.0000    
  516 2  516.00      6.0000    
  517 2  517.00      6.0000    
  518 2  518.00      4.0000    
  519 2  519.00      4.0000    
  520 2  520.00      4.0000    
  521 2  521.00      8.0000    
  522 2  522.00      2.0000    
  523 2  523.00      2.0000    
  524 2  524.00      3.0000    
  525 2  525.00      5.0000    
  526 2  526.00      5.0000    
  527 2  527.00      4.0000    
  528 2  528.00      5.0000    
  529 2  529.00      5.0000    
  530 2  530.00      5.0000    
  531 2  531.00      2.0000    
  532 2  532.00      4.0000    
  533 2  533.00      2.0000    
  534 2  534.00      7.0000    
  535 2  535.00      2.0000    
  536 2  536.00      2.0000    
  537 2  537.00      4.0000    
  538 2  538.00      1.0000    
  539 2  539.00      5.0000    
  540 2  540.00      4.0000    
  541 2  541.00      4.0000    
  542 2  542.00      4.0000    
  543 2  543.00      1.0000    
  544 2  544.00      6.0000    
  545 2  545.00      2.0000    
  546 2  546.00      5.0000    
  547 2  547.00      1.0000    
  548 2  548.00      1.0000    
  549 2  549.00      1.0000    
  550 2  550.00      5.0000    
  551 2  551.00      5.0000    
  552 2  552.00      4.0000    
  553 2  553.00      4.0000    
  554 2  554.00      4.0000    
  555 2  555.00      1.0000    
  556 2  556.00      4.0000    
  557 2  557.00      1.0000    
  558 2  558.00      2.0000    
  559 2  559.00      5.0000    
  560 2  560.00      1.0000    
  561 2  561.00      5.0000    
  562 2  562.00      2.0000    
  563 2  563.00      5.0000    
  564 2  564.00      7.0000    
  565 2  565.00      2.0000    
  566 2  566.00      2.0000    
  567 2  567.00      5.0000    
  568 2  568.00      2.0000    
  569 2  569.00      6.0000    
  570 2  570.00      6.0000    
  571 2  571.00      1.0000    
  572 2  572.00      4.0000    
  573 2  573.00      2.0000    
  574 2  574.00      1.0000    
  575 2  575.00      2.0000    
  576 2  576.00      1.0000    
  577 2  577.00      4.0000    
  578 2  578.00      5.0000    
  579 2  579.00      6.0000    
  580 2  580.00      2.0000    
  581 2  581.00      4.0000    
  582 2  582.00      1.0000    
  583 2  583.00      7.0000    
  584 2  584.00      8.0000    
  585 2  585.00      4.0000    
  586 2  586.00      5.0000    
  587 2  587.00      2.0000    
  588 2  588.00      7.0000    
  589 2  589.00      6.0000    
  590 2  590.00      2.0000    
  591 2  591.00      1.0000    
  592 2  592.00      2.0000    
  593 2  593.00      2.0000    
  594 2  594.00      5.0000    
  595 2  595.00      1.0000    
  596 2  596.00      4.0000    
  597 2  597.00      6.0000    
  598 2  598.00      2.0000    
  599 2  599.00      5.0000    
  600 2  600.00      1.0000    
  601 2  601.00      2.0000    
  602 2  602.00      5.0000    
  603 2  603.00      2.0000    
  604 2  604.00      2.0000    
  605 2  605.00      2.0000    
  606 2  606.00      1.0000    
  607 2  607.00      2.0000    
  608 2  608.00      4.0000    
  609 2  609.00      1.0000    
  610 2  610.00      5.0000    
  611 2  611.00      1.0000    
  612 2  612.00      5.0000    
  613 2  613.00      4.0000    
  614 2  614.00      1.0000    
  615 2  615.00      2.0000    
  616 2  616.00      2.0000    
  617 2  617.00      1.0000    
  618 2  618.00      5.0000    
  619 2  619.00      1.0000    
  620 2  620.00      2.0000    
  621 2  621.00      5.0000    
  622 2  622.00      5.0000    
  623 2  623.00      6.0000    
  624 2  624.00      6.0000    
  625 2  625.00      6.0000    
  626 2  626.00      1.0000    
  627 2  627.00      1.0000    
  628 2  628.00      2.0000    
  629 2  629.00      1.0000    
  630 2  630.00      4.0000    
  631 2  631.00      5.0000    
  632 2  632.00      5.0000    
  633 2  633.00      1.0000    
  634 2  634.00      1.0000    
  635 2  635.00      1.0000    
  636 2  636.00      2.0000    
  637 2  637.00      5.0000    
  638 2  638.00      2.0000    
  639 2  639.00      4.0000    
  640 2  640.00      2.0000    
  641 2  641.00      5.0000    
  642 2  642.00      5.0000    
  643 2  643.00      2.0000    
  644 2  644.00      2.0000    
  645 2  645.00      7.0000    
  646 2  646.00      5.0000    
  647 2  647.00      5.0000    
  648 2  648.00      1.0000    
  649 2  649.00      5.0000    
  650 2  650.00      1.0000    
  651 2  651.00      6.0000    
  652 2  652.00      6.0000    
  653 2  653.00      4.0000    
  654 2  654.00      2.0000    
  655 2  655.00      4.0000    
  656 2  656.00      2.0000    
  657 2  657.00      2.0000    
  658 2  658.00      5.0000    
  659 2  659.00      2.0000    
  660 2  660.00      1.0000    
  661 2  661.00      1.0000    
  662 2  662.00      2.0000    
  663 2  663.00      5.0000    
  664 2  664.00      4.0000    
  665 2  665.00      5.0000    
  666 2  666.00      5.0000    
  667 2  667.00      1.0000    
  668 2  668.00      1.0000    
  669 2  669.00      2.0000    
  670 2  670.00      2.0000    
  671 2  671.00      5.0000    
  672 2  672.00      2.0000    
  673 2  673.00      1.0000    
  674 2  674.00      2.0000    
  675 2  675.00      2.0000    
  676 2  676.00      1.0000    
  677 2  677.00      3.0000    
  678 2  678.00      1.0000    
  679 2  679.00      2.0000    
  680 2  680.00      6.0000    
  681 2  681.00      6.0000    
  682 2  682.00      5.0000    
  683 2  683.00      1.0000    
  684 2  684.00      5.0000    
  685 2  685.00      1.0000    
  686 2  686.00      2.0000    
  687 2  687.00      4.0000    
  688 2  688.00      5.0000    
  689 2  689.00      3.0000    
  690 2  690.00      5.0000    
  691 2  691.00      8.0000    
  692 2  692.00      1.0000    
  693 2  693.00      4.0000    
  694 2  694.00      2.0000    
  695 2  695.00      8.0000    
  696 2  696.00      7.0000    
  697 2  697.00      1.0000    
  698 2  698.00      5.0000    
  699 2  699.00      2.0000    
  700 2  700.00      7.0000    
  701 2  701.00      1.0000    
  702 2  702.00      5.0000    
  703 2  703.00      7.0000    
  704 2  704.00      5.0000    
  705 2  705.00      5.0000    
  706 2  706.00      6.0000    
  707 2  707.00      6.0000    
  708 2  708.00      2.0000    
  709 2  709.00      5.0000    
  710 2  710.00      1.0000    
  711 2  711.00      4.0000    
  712 2  712.00      2.0000    
  713 2  713.00      4.0000    
  714 2  714.00      5.0000    
  715 2  715.00      2.0000    
  716 2  716.00      1.0000    
  717 2  717.00      2.0000    
  718 2  718.00      4.0000    
  719 2  719.00      2.0000    
  720 2  720.00      1.0000    
  721 2  721.00      1.0000    
  722 2  722.00      5.0000    
  723 2  723.00      4.0000    
  724 2  724.00      2.0000    
  725 2  725.00      1.0000    
  726 2  726.00      2.0000    
  727 2  727.00      1.0000    
  728 2  728.00      1.0000    
  729 2  729.00      1.0000    
  730 2  730.00      2.0000    
  731 2  731.00      2.0000    
  732 2  732.00      1.0000    
  733 2  733.00      5.0000    
  734 2  734.00      2.0000    
  735 2  735.00      5.0000    
  736 2  736.00      6.0000    
  737 2  737.00      6.0000    
  738 2  738.00      6.0000    
  739 2  739.00      2.0000    
  740 2  740.00      4.0000    
  741 2  741.00      4.0000    
  742 2  742.00      4.0000    
  743 2  743.00      1.0000    
  744 2  744.00      2.0000    
  745 2  745.00      2.0000    
  746 2  746.00      4.0000    
  747 2  747.00      2.0000    
  748 2  748.00      5.0000    
  749 2  749.00      4.0000    
  750 2  750.00      7.0000    
  751 2  751.00      3.0000    
  752 2  752.00      1.0000    
  753 2  753.00      4.0000    
  754 2  754.00      4.0000    
  755 2  755.00      4.0000    
  756 2  756.00      5.0000    
  757 2  757.00      4.0000    
  758 2  758.00      5.0000    
  759 2  759.00      2.0000    
  760 2  760.00      2.0000    
  761 2  761.00      2.0000    
  762 2  762.00      6.0000    
  763 2  763.00      6.0000    
  764 2  764.00      2.0000    
  765 2  765.00      4.0000    
  766 2  766.00      5.0000    
  767 2  767.00      1.0000    
  768 2  768.00      5.0000    
  769 2  769.00      4.0000    
  770 2  770.00      2.0000    
  771 2  771.00      2.0000    
  772 2  772.00      5.0000    
  773 2  773.00      5.0000    
  774 2  774.00      5.0000    
  775 2  775.00      5.0000    
  776 2  776.00      1.0000    
  777 2  777.00      5.0000    
  778 2  778.00      2.0000    
  779 2  779.00      4.0000    
  780 2  780.00      1.0000    
  781 2  781.00      1.0000    
  782 2  782.00      2.0000    
  783 2  783.00      2.0000    
  784 2  784.00      1.0000    
  785 2  785.00      2.0000    
  786 2  786.00      5.0000    
  787 2  787.00      5.0000    
  788 2  788.00      5.0000    
  789 2  789.00      4.0000    
  790 2  790.00      5.0000    
  791 2  791.00      5.0000    
  792 2  792.00      1.0000    
  793 2  793.00      5.0000    
  794 2  794.00      6.0000    
  795 2  795.00      6.0000    
  796 2  796.00      6.0000    
  797 2  797.00      7.0000    
  798 2  798.00      2.0000    
  799 2  799.00      1.0000    
  800 2  800.00      2.0000    
  801 2  801.00      5.0000    
  802 2  802.00      4.0000    
  803 2  803.00      2.0000    
  804 2  804.00      4.0000    
  805 2  805.00      3.0000    
  806 2  806.00      4.0000    
  807 2  807.00      1.0000    
  808 2  808.00      1.0000    
  809 2  809.00      4.0000    
  810 2  810.00      5.0000    
  811 2  811.00      4.0000    
  812 2  812.00      4.0000    
  813 2  813.00      7.0000    
  814 2  814.00      1.0000    
  815 2  815.00      2.0000    
  816 2  816.00      6.0000    
  817 2  817.00      4.0000    
  818 2  818.00      7.0000    
  819 2  819.00      6.0000    
  820 2  820.00      6.0000    
  821 2  821.00      2.0000    
  822 2  822.00      2.0000    
  823 2  823.00      1.0000    
  824 2  824.00      1.0000    
  825 2  825.00      5.0000    
  826 2  826.00      1.0000    
  827 2  827.00      2.0000    
  828 2  828.00      1.0000    
  829 2  829.00      5.0000    
  830 2  830.00      4.0000    
  831 2  831.00      5.0000    
  832 2  832.00      1.0000    
  833 2  833.00      2.0000    
  834 2  834.00      1.0000    
  835 2  835.00      5.0000    
  836 2  836.00      2.0000    
  837 2  837.00      4.0000    
  838 2  838.00      4.0000    
  839 2  839.00      2.0000    
  840 2  840.00      2.0000    
  841 2  841.00      4.0000    
  842 2  842.00      4.0000    
  843 2  843.00      2.0000    
  844 2  844.00      2.0000    
  845 2  845.00      5.0000    
  846 2  846.00      1.0000    
  847 2  847.00      5.0000    
  848 2  848.00      1.0000    
  849 2  849.00      4.0000    
  850 2  850.00      1.0000    
  851 2  851.00      6.0000    
  852 2  852.00      2.0000    
  853 2  853.00      6.0000    
  854 2  854.00      2.0000    
  855 2  855.00      4.0000    
  856 2  856.00      2.0000    
  857 2  857.00      5.0000    
  858 2  858.00      2.0000    
  859 2  859.00      1.0000    
  860 2  860.00      2.0000    
  861 2  861.00      4.0000    
  862 2  862.00      2.0000    
  863 2  863.00      5.0000    
  864 2  864.00      1.0000    
  865 2  865.00      6.0000    
  866 2  866.00      2.0000    
  867 2  867.00      5.0000    
  868 2  868.00      5.0000    
  869 2  869.00      5.0000    
  870 2  870.00      5.0000    
  871 2  871.00      4.0000    
  872 2  872.00      1.0000    
  873 2  873.00      1.0000    
  874 2  874.00      6.0000    
  875 2  875.00      1.0000    
  876 2  876.00      6.0000    
  877 2  877.00      6.0000    
  878 2  878.00      2.0000    
  879 2  879.00      4.0000    
  880 2  880.00      5.0000    
  881 2  881.00      4.0000    
  882 2  882.00      4.0000    
  883 2  883.00      5.0000    
  884 2  884.00      2.0000    
  885 2  885.00      5.0000    
  886 2  886.00      1.0000    
  887 2  887.00      1.0000    
  888 2  888.00      4.0000    
  889 2  889.00      2.0000    
  890 2  890.00      2.0000    
  891 2  891.00      4.0000    
  892 2  892.00      5.0000    
  893 2  893.00      2.0000    
  894 2  894.00      2.0000    
  895 2  895.00      4.0000    
  896 2  896.00      2.0000    
  897 2  897.00      5.0000    
  898 2  898.00      1.0000    
  899 2  899.00      2.0000    
  900 2  900.00      1.0000    
  901 2  901.00      5.0000    
  902 2  902.00      2.0000    
  903 2  903.00      1.0000    
  904 2  904.00      5.0000    
  905 2  905.00      2.0000    
  906 2  906.00      5.0000    
  907 2  907.00      1.0000    
  908 2  908.00      1.0000    
  909 2  909.00      2.0000    
  910 2  910.00      6.0000    
  911 2  911.00      6.0000    
  912 2  912.00      6.0000    
  913 2  913.00      4.0000    
  914 2  914.00      4.0000    
