 ;spi/dat   09-SEP-2008 AT 11:01:01   power/ctf004.dat
   99 4  6.95035E-02  2.88073E-04  1.94228E-05  2.05848E-05 
  100 4  7.02128E-02  2.87593E-04  1.77172E-05  2.00454E-05 
  101 4  7.09220E-02  2.87105E-04  1.46932E-05  1.95245E-05 
  102 4  7.16312E-02  2.86610E-04  9.25540E-06  1.90209E-05 
  103 4  7.23404E-02  2.86108E-04  4.38752E-06  1.85332E-05 
  104 4  7.30496E-02  2.85600E-04  1.66163E-06  1.80623E-05 
  105 4  7.37589E-02  2.85085E-04  4.34258E-07  1.76066E-05 
  106 4  7.44681E-02  2.84563E-04  3.52738E-07  1.71666E-05 
  107 4  7.51773E-02  2.84035E-04  2.11471E-06  1.67407E-05 
  108 4  7.58865E-02  2.83500E-04  5.76943E-06  1.63295E-05 
  109 4  7.65957E-02  2.82960E-04  9.59693E-06  1.59318E-05 
  110 4  7.73050E-02  2.82415E-04  1.36369E-05  1.55463E-05 
  111 4  7.80142E-02  2.81864E-04  1.46415E-05  1.51741E-05 
  112 4  7.87234E-02  2.81308E-04  1.48133E-05  1.48133E-05 
  113 4  7.94326E-02  2.80749E-04  1.24706E-05  1.44628E-05 
  114 4  8.01418E-02  2.80186E-04  8.58819E-06  1.41226E-05 
  115 4  8.08511E-02  2.79619E-04  6.33165E-06  1.37931E-05 
  116 4  8.15603E-02  2.79048E-04  2.31230E-06  1.34738E-05 
  117 4  8.22695E-02  2.78476E-04   0.0000      1.31621E-05 
  118 4  8.29787E-02  2.77899E-04  7.03993E-07  1.28610E-05 
  119 4  8.36879E-02  2.77324E-04  1.07984E-06  1.25647E-05 
  120 4  8.43972E-02  2.76746E-04  3.40777E-06  1.22768E-05 
  121 4  8.51064E-02  2.76166E-04  6.15171E-06  1.19971E-05 
  122 4  8.58156E-02  2.75586E-04  9.01447E-06  1.17227E-05 
  123 4  8.65248E-02  2.75006E-04  1.10579E-05  1.14545E-05 
  124 4  8.72340E-02  2.74426E-04  1.04873E-05  1.11927E-05 
  125 4  8.79433E-02  2.73846E-04  8.47247E-06  1.09359E-05 
  126 4  8.86525E-02  2.73268E-04  5.33846E-06  1.06823E-05 
  127 4  8.93617E-02  2.72691E-04  2.16364E-06  1.04345E-05 
  128 4  9.00709E-02  2.72115E-04  1.20886E-06  1.01905E-05 
  129 4  9.07801E-02  2.71540E-04  8.26287E-07  9.95171E-06 
  130 4  9.14894E-02  2.70967E-04  1.67475E-06  9.71620E-06 
  131 4  9.21986E-02  2.70394E-04  3.39298E-06  9.48607E-06 
  132 4  9.29078E-02  2.69831E-04  5.37495E-06  9.25199E-06 
  133 4  9.36170E-02  2.69264E-04  7.41571E-06  9.02783E-06 
  134 4  9.43262E-02  2.68700E-04  8.06639E-06  8.80618E-06 
  135 4  9.50355E-02  2.68135E-04  7.69750E-06  8.59148E-06 
  136 4  9.57447E-02  2.67581E-04  5.41500E-06  8.37128E-06 
  137 4  9.64539E-02  2.67025E-04  3.87183E-06  8.15908E-06 
  138 4  9.71631E-02  2.66473E-04  1.96221E-06  7.94875E-06 
  139 4  9.78723E-02  2.65926E-04  2.43075E-07  7.73897E-06 
  140 4  9.85816E-02  2.65386E-04   0.0000      7.52849E-06 
  141 4  9.92908E-02  2.64839E-04  2.80235E-06  7.33096E-06 
  142 4  0.10000      2.64304E-04  4.05492E-06  7.12738E-06 
  143 4  0.10071      2.63766E-04  5.50109E-06  6.93186E-06 
  144 4  0.10142      2.63234E-04  6.08724E-06  6.73707E-06 
  145 4  0.10213      2.62707E-04  5.32123E-06  6.54327E-06 
  146 4  0.10284      2.62181E-04  4.25629E-06  6.35494E-06 
  147 4  0.10355      2.61660E-04  2.41259E-06  6.16701E-06 
  148 4  0.10426      2.61142E-04  1.74440E-06  5.98154E-06 
  149 4  0.10496      2.60623E-04  9.91597E-07  5.80444E-06 
  150 4  0.10567      2.60112E-04  2.08782E-06  5.62522E-06 
  151 4  0.10638      2.59601E-04  2.48532E-06  5.45109E-06 
  152 4  0.10709      2.59099E-04  3.99991E-06  5.27562E-06 
  153 4  0.10780      2.58592E-04  4.83909E-06  5.11057E-06 
  154 4  0.10851      2.58098E-04  4.43999E-06  4.93845E-06 
  155 4  0.10922      2.57593E-04  3.02398E-06  4.78362E-06 
  156 4  0.10993      2.57096E-04  2.17833E-06  4.62710E-06 
  157 4  0.11064      2.56602E-04  1.29116E-06  4.47326E-06 
  158 4  0.11135      2.56108E-04  4.71104E-07  4.32602E-06 
  159 4  0.11206      2.55621E-04  1.27376E-06  4.17777E-06 
  160 4  0.11277      2.55133E-04  2.53666E-06  4.03702E-06 
  161 4  0.11348      2.54649E-04  3.64779E-06  3.89718E-06 
  162 4  0.11418      2.54167E-04  3.76237E-06  3.76237E-06 
  163 4  0.11489      2.53684E-04  3.34994E-06  3.63469E-06 
  164 4  0.11560      2.53206E-04  2.15074E-06  3.50762E-06 
  165 4  0.11631      2.52725E-04  2.81766E-06  3.39001E-06 
  166 4  0.11702      2.52248E-04  1.68182E-06  3.27372E-06 
  167 4  0.11773      2.51774E-04  2.40223E-07  3.16105E-06 
  168 4  0.11844      2.51305E-04   0.0000      3.04842E-06 
  169 4  0.11915      2.50828E-04  7.58475E-07  2.95037E-06 
  170 4  0.11986      2.50358E-04  2.00953E-06  2.85089E-06 
  171 4  0.12057      2.49893E-04  1.74387E-06  2.75188E-06 
  172 4  0.12128      2.49415E-04  1.41477E-06  2.67208E-06 
  173 4  0.12199      2.48945E-04  1.07184E-06  2.58908E-06 
  174 4  0.12270      2.48491E-04  8.74570E-07  2.49670E-06 
  175 4  0.12340      2.48024E-04  5.42495E-07  2.42179E-06 
  176 4  0.12411      2.47548E-04  1.24041E-06  2.36163E-06 
  177 4  0.12482      2.47091E-04  1.42740E-06  2.28779E-06 
  178 4  0.12553      2.46637E-04  1.47874E-06  2.21713E-06 
  179 4  0.12624      2.46166E-04  1.05493E-06  2.16765E-06 
  180 4  0.12695      2.45708E-04  3.88129E-07  2.11044E-06 
  181 4  0.12766      2.45247E-04  8.08213E-07  2.06212E-06 
  182 4  0.12837      2.44794E-04  9.56206E-07  2.00982E-06 
  183 4  0.12908      2.44331E-04  5.92350E-07  1.97269E-06 
  184 4  0.12979      2.43883E-04  7.20916E-07  1.92523E-06 
  185 4  0.13050      2.43432E-04  4.17553E-07  1.88657E-06 
  186 4  0.13121      2.42975E-04  6.48521E-07  1.85733E-06 
  187 4  0.13191      2.42540E-04  1.50605E-06  1.81183E-06 
  188 4  0.13262      2.42086E-04  9.30813E-07  1.78891E-06 
  189 4  0.13333      2.41628E-04  7.90984E-07  1.77482E-06 
  190 4  0.13404      2.41194E-04  1.74106E-06  1.74106E-06 
  191 4  0.13475      2.40744E-04  8.10440E-07  1.72696E-06 
  192 4  0.13546      2.40295E-04  3.48577E-07  1.71681E-06 
  193 4  0.13617      2.39870E-04  4.28394E-07  1.68728E-06 
  194 4  0.13688      2.39425E-04  9.81323E-07  1.68047E-06 
  195 4  0.13759      2.38995E-04  3.66548E-07  1.66368E-06 
  196 4  0.13830      2.38583E-04  6.58474E-07  1.63286E-06 
  197 4  0.13901      2.38124E-04  3.58850E-07  1.65121E-06 
  198 4  0.13972      2.37705E-04   0.0000      1.63485E-06 
  199 4  0.14043      2.37295E-04  7.98143E-07  1.61356E-06 
  200 4  0.14113      2.36876E-04  6.65081E-07  1.60457E-06 
  201 4  0.14184      2.36457E-04  8.95816E-07  1.59834E-06 
  202 4  0.14255      2.36048E-04  7.45844E-07  1.58649E-06 
  203 4  0.14326      2.35635E-04  9.91291E-07  1.58214E-06 
  204 4  0.14397      2.35240E-04  9.81745E-07  1.56301E-06 
  205 4  0.14468      2.34823E-04  1.00632E-06  1.56902E-06 
  206 4  0.14539      2.34449E-04  1.12040E-06  1.53547E-06 
  207 4  0.14610      2.34029E-04  6.30011E-07  1.55203E-06 
  208 4  0.14681      2.33665E-04  6.76853E-07  1.51574E-06 
  209 4  0.14752      2.33264E-04  5.18005E-07  1.51986E-06 
  210 4  0.14823      2.32891E-04  1.07635E-06  1.49889E-06 
  211 4  0.14894      2.32497E-04  1.44821E-07  1.50215E-06 
  212 4  0.14965      2.32148E-04  4.85583E-07  1.46402E-06 
  213 4  0.15035      2.31767E-04  4.13696E-07  1.46207E-06 
  214 4  0.15106      2.31409E-04  3.16693E-07  1.44004E-06 
  215 4  0.15177      2.31053E-04   0.0000      1.41899E-06 
  216 4  0.15248      2.30702E-04  6.17089E-07  1.39802E-06 
